Variable,BestLagH,BestM,PACF_RAW,PACF_Projection,PACF_PhaseOnly
PV,24,600,6.21832450850776,3.42213168298596,2.73069094711738
WT,48,600,1.75243301917146,1.71388579538628,1.81487690830013
PT,24,1600,6.99071588128207,6.54763077234563,3.34656637240018
GHI_30min,48,1200,4.33288905731561,2.47000062154216,2.51637907214076
T2M_30min,144,800,4.37938681226894,4.43540556906195,4.32391378458255
GHI_1h,48,600,5.06616512157614,3.38188551415734,1.9114650785345
T2M_1h,24,800,5.32355324634467,4.41463438824589,2.85607295504189
WS_30min,48,1200,1.66581957784284,1.66790739146423,1.70027093454192
WS_1h,24,600,2.13570981838759,1.76859437560342,1.60857043222889
